Assay	Name	Allele.X.1	Allele.Y.1
ame_12390	AM000187	0.366502285482186	0.330538931974413
ame_15103	AM000187	0.585809942175554	0.802973176356282
ame_19869	AM000187	0.67880908715802	0.639250049100387
ame_22068	AM000187	0.764648776685329	0.612188229576356
ame_27852	AM000187	0.804344531232636	0.227162956610829
ame_34281	AM000187	0.7327453351347	0.535077229491859
ame_37544	AM000187	0.799799139657335	0.211352851036163
ame_38966	AM000187	0.816230826178959	0.473499636982742
ame_41153	AM000187	0.44741265837255	0.506919711471444
ame_48379	AM000187	0.46791053402139	0.308776289616223
ame_6520	AM000187	0.792315140137433	0.143294884013773
ame_8513	AM000187	0.65336040756625	0.805164578017881
ame_1253	AM000187	0.823611884079363	0.292922856138757
ame_15715	AM000187	0.53992946255272	0.570684081375366
ame_20156	AM000187	0.704718392024521	0.485848256358799
ame_22229	AM000187	0.327421036938838	0.511627513061214
ame_28420	AM000187	0.627880103808303	0.709557494444589
ame_34352	AM000187	0.351748375494796	0.850855428533473
ame_37839	AM000187	0.79403919868692	0.289184714356302
ame_39147	AM000187	0.669883360485465	0.757075765712245
ame_41175	AM000187	0.724904356789058	0.284387991769956
ame_5037	AM000187	0.0116109465774412	0.468309649740585
ame_6588	AM000187	0.0257084529006841	0.621685661016285
ame_8634	AM000187	0.592614329561886	0.301231060329025
ame_1255	AM000187	0.74862113104508	0.548256112528858
ame_16923	AM000187	0.575383037292787	0.7584543415795
ame_20297	AM000187	0.716840218678976	0.573847369467089
ame_2288	AM000187	0.101175601373194	0.655674462749627
ame_2973	AM000187	0.12352121118851	0.625369421965097
ame_3463	AM000187	0.579597396073776	0.753279730308852
ame_37896	AM000187	0.227896826909838	0.667088836245002
ame_39470	AM000187	0.329641782034487	0.435565119187329
ame_4286	AM000187	0.607314714014362	0.708651703266469
ame_51441	AM000187	0.0423593050816225	0.744222186999187
ame_6991	AM000187	0.695990187927143	0.497246544420338
ame_8714	AM000187	0.18522469700492	0.810014704680619
ame_12562	AM000187	0.142214198271333	0.866581942890641
ame_17281	AM000187	0.42881026101322	0.752842580176682
ame_20339	AM000187	0.523508059461243	0.750410658247868
ame_22995	AM000187	0.198496496738099	0.805323987266842
ame_3058	AM000187	0.375654295706663	0.607657199122364
ame_35381	AM000187	0.114048238135188	0.632440648657929
ame_37925	AM000187	0.728115578718311	0.368261712781686
ame_40414	AM000187	0.767900330111556	0.225605706215741
ame_44590	AM000187	0.456580244812872	0.613687079294748
ame_51800	AM000187	0.150298377931523	0.804770496539165
ame_7264	AM000187	0.583916084080714	0.576512464901294
ame_879	AM000187	0.455635740579844	0.442333657443623
ame_35605	AM000187	0.685794712831421	0.74609322067921
ame_31051	AM000187	0.368832991904502	0.490148085747043
ame_23396	AM000187	0.241062448293088	0.739954316970728
ame_20519	AM000187	0.700335042417056	0.410954994632159
ame_17835	AM000187	0.613077607680418	0.571092761015391
ame_12994	AM000187	0.651817053636962	0.504617071931312
ame_9119	AM000187	0.624684973397846	0.489619158752811
ame_7418	AM000187	0.604889657180342	0.737208329324421
ame_54619	AM000187	0.0921937353414973	0.339694800619651
ame_46547	AM000187	0.165734576586715	0.784095713291609
ame_40574	AM000187	0.61880352692187	0.445829279051651
ame_38168	AM000187	0.749893377875223	0.332437874797857
ame_37096	AM000187	0.684808658038399	0.488514580609715
ame_31774	AM000187	0.420597169667931	0.824216849187523
ame_25541	AM000187	0.550242563150663	0.618557679288961
ame_2072	AM000187	0.759466882918446	0.358446024621866
ame_17902	AM000187	0.663202410114904	0.685229928512205
ame_14670	AM000187	0.189389876167248	0.873774358073821
ame_9163	AM000187	0.498078638224923	0.676729255865763
ame_7444	AM000187	0.76989216185663	0.285676185371071
ame_557	AM000187	0.761299767094899	0.332258576188964
ame_46669	AM000187	0.781745318021155	0.166104041379513
ame_40767	AM000187	0.537047900720159	0.7394042489166
ame_3833	AM000187	0.676865653190335	0.460816299802117
ame_37202	AM000187	0.48698297773208	0.582127401170491
ame_31830	AM000187	0.683752473895939	0.749885443388014
ame_26424	AM000187	0.660499851891059	0.704987939525491
ame_20992	AM000187	0.73798917110581	0.785311900978041
ame_17905	AM000187	0.727078741479038	0.710664112281083
ame_14899	AM000187	0.126414655179093	0.612464266598118
ame_959	AM000187	0.65353828102528	0.450634258292099
ame_7975	AM000187	0.755403314679159	0.69695404578506
ame_55782	AM000187	0.390060151123494	0.85906934634281
ame_47710	AM000187	0.32876861438805	0.898247106711998
ame_40819	AM000187	0.506521985223884	0.800752483124987
ame_38404	AM000187	0.56862395484601	0.772455493474829
ame_37303	AM000187	0.483999571798334	0.872888888039777
ame_33891	AM000187	0.650063020366678	0.515385457430321
ame_27073	AM000187	0.718776204350148	0.678032949065602
ame_21745	AM000187	0.285482985458411	0.888110546192421
ame_18605	AM000187	0.520533982598225	0.826126995176731
ame_14956	AM000187	0.721221157609691	0.665534206164375
ame_9741	AM000187	0.661934047202517	0.841169983473152
ame_8439	AM000187	0.787424453596632	0.295514604639679
ame_56321	AM000187	0.809752327337604	0.322227951895143
ame_48330	AM000187	0.210483839119702	0.837961282823938
ame_40859	AM000187	0.255782744309177	0.889607134057252
ame_38431	AM000187	0.55428752655447	0.743489081977168
ame_12390	AM000179	0.352266082040776	0.325254020359213
ame_15103	AM000179	0.66067319093461	0.732395273074004
ame_19869	AM000179	0.657751189468972	0.651468131894084
ame_22068	AM000179	0.765544344758413	0.628104490509023
ame_27852	AM000179	0.792284487447198	0.203302381947919
ame_34281	AM000179	0.785930508249504	0.247303111229778
ame_37544	AM000179	0.781953950358779	0.19648591801981
ame_38966	AM000179	0.799907468483662	0.427142575457668
ame_41153	AM000179	0.36967133754012	0.417048650719458
ame_48379	AM000179	0.31086469412909	0.394069100812784
ame_6520	AM000179	0.778142494429968	0.129146513116947
ame_8513	AM000179	0.156855772015583	0.834554912282756
ame_1253	AM000179	0.72402531734512	0.707284960032962
ame_15715	AM000179	0.516998436288582	0.544194647470235
ame_20156	AM000179	0.625762809564728	0.56674707631629
ame_22229	AM000179	0.483924258480141	0.0383948977861596
ame_28420	AM000179	0.656713148168308	0.627561039335804
ame_34352	AM000179	0.327526048696745	0.830817694421194
ame_37839	AM000179	0.753136176000365	0.561617609843706
ame_39147	AM000179	0.675993723852307	0.64626647145
ame_41175	AM000179	0.699695199408792	0.221751184161101
ame_5037	AM000179	0.0403069225277045	0.375306471292939
ame_6588	AM000179	0.241651721741988	0.517926153702956
ame_8634	AM000179	0.402018596158846	0.506550447639947
ame_1255	AM000179	0.744318055950939	0.526843100931544
